('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         757107 function calls (736878 primitive calls) in 1.933 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  209/207    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      455    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       61    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      487    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      260    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
       86    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
       74    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
      798    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      382    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      626    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
    285/6    0.000    0.000    0.160    0.027 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       46    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
      543    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
        9    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
      271    0.000    0.000    0.005    0.000 _decoders.py:95(decode)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      194    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      797    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
  462/272    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
       45    0.000    0.000    0.000    0.000 typing.py:801(__init__)
     1295    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
     1295    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      388    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      310    0.000    0.000    0.068    0.000 re.py:249(compile)
      298    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       37    0.000    0.000    0.001    0.000 typing.py:1323(__class_getitem__)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
     1706    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      120    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
       21    0.000    0.000    0.000    0.000 _receivebuffer.py:104(maybe_extract_lines)
      677    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
       13    0.000    0.000    0.003    0.000 enum.py:483(_create_)
     15/8    0.000    0.000    0.000    0.000 inspect.py:2375(_signature_from_callable)
      225    0.000    0.000    0.000    0.000 types.py:176(__get__)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
  188/126    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
      266    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       91    0.000    0.000    0.000    0.000 enum.py:980(__or__)
      646    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      195    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      260    0.000    0.000    0.000    0.000 typing_extensions.py:154(_should_collect_from_parameters)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
       94    0.000    0.000    0.002    0.000 abc.py:105(__new__)
      272    0.000    0.000    0.297    0.001 http11.py:330(__iter__)
      272    0.000    0.000    0.297    0.001 default.py:125(__iter__)
    71/51    0.000    0.000    0.060    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       99    0.000    0.000    0.001    0.000 typing.py:1147(copy_with)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
      527    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      605    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      272    0.000    0.000    0.297    0.001 connection_pool.py:401(__iter__)
      273    0.000    0.000    0.000    0.000 _connection.py:248(_server_switch_event)
      272    0.000    0.000    0.297    0.001 _client.py:152(__iter__)
      394    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
       78    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
        1    0.000    0.000    0.002    0.002 socket.py:1(<module>)
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      244    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
       36    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
       18    0.000    0.000    0.001    0.000 dataclasses.py:527(_init_fn)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      184    0.000    0.000    0.004    0.000 sre_parse.py:97(closegroup)
      656    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      603    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      260    0.000    0.000    0.000    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      332    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        8    0.000    0.000    0.000    0.000 inspect.py:2280(_signature_from_function)
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
        1    0.000    0.000    0.149    0.149 sync.py:188(connect_tcp)
      265    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
        1    0.000    0.000    0.251    0.251 connection.py:105(_connect)
      106    0.000    0.000    0.000    0.000 dataclasses.py:824(_set_new_attribute)
        1    0.000    0.000    0.000    0.000 subprocess.py:702(Popen)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        2    0.000    0.000    0.004    0.002 _sockets.py:1(<module>)
    27/16    0.000    0.000    0.087    0.005 {built-in method builtins.__import__}
       24    0.000    0.000    0.000    0.000 abc.py:146(update_abstractmethods)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      638    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       26    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      627    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
      427    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       51    0.000    0.000    0.000    0.000 parser.py:122(set_cdata_mode)
      112    0.000    0.000    0.000    0.000 dataclasses.py:817(_set_qualname)
      141    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    1.934    1.934 financial_enhanced.py:1(<module>)
      252    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
       24    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
    42/30    0.000    0.000    0.007    0.000 css_parser.py:569(parse_pseudo_class)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        2    0.000    0.000    0.006    0.003 utils.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _trace.py:12(__init__)
       13    0.000    0.000    0.004    0.000 enum.py:536(_convert_)
       56    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       30    0.000    0.000    0.001    0.000 typing.py:1223(__getitem__)
        1    0.000    0.000    0.000    0.000 connection_pool.py:43(AsyncConnectionPool)
      281    0.000    0.000    0.000    0.000 _connection.py:205(our_state)
       24    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       61    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
    99/80    0.000    0.000    0.003    0.000 typing.py:401(__getitem__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
      474    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
