('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         737441 function calls (717118 primitive calls) in 6.817 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.100    0.100 connection.py:846(_ssl_wrap_socket_and_match_hostname)
      188    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      497    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.044    0.044 css_parser.py:1(<module>)
       31    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
      269    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.020    0.020 dammit.py:67(EntitySubstitution)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        2    0.000    0.000    0.010    0.005 connection.py:1(<module>)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       93    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
      331    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
       44    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
        1    0.000    0.000    0.024    0.024 adapters.py:1(<module>)
      490    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      648    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       12    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
      332    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
       54    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
  136/131    0.000    0.000    0.000    0.000 css_parser.py:375(_freeze_relations)
       70    0.000    0.000    0.000    0.000 typing.py:947(__init__)
        2    0.000    0.000    0.001    0.001 models.py:1(<module>)
    38/29    0.000    0.000    0.007    0.000 css_parser.py:732(parse_pseudo_open)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2223(__init__)
       43    0.000    0.000    0.291    0.007 models.py:816(generate)
      292    0.000    0.000    0.000    0.000 enum.py:801(value)
       19    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       53    0.000    0.000    0.000    0.000 typing.py:664(__init__)
       56    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
      403    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7f38fce101f0}
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
       36    0.000    0.000    0.001    0.000 typing.py:1147(copy_with)
      238    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:816(SpooledTemporaryFile)
       48    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
        2    0.000    0.000    0.029    0.014 api.py:1(<module>)
        3    0.000    0.000    0.010    0.003 response.py:1(<module>)
       79    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
